산업분류코드,행정구역,산업분류명,총사업체수,총종사자수,남자종사자수,여자종사자수,개인사업체수,개인종사자수,회사법인사업체수,회사법인종사자수,회사법인외사업체수,회사법인외종사자수,비법인단체사업체수,비법인단체종사자수,단독사업체사업체수,단독사업체종사자수,공장지사사업체수,공장지사종사자수,공장본점사업체수,공장본점종사자수,사업체수1_4,종사자수1_4,사업체수5_9,종사자수5_9,사업체수10_19,종사자수10_19,사업체수20_49,종사자수20_49,사업체수50_99,종사자수50_99,사업체수100_299,종사자수100_299,사업체수300_499,종사자수300_499,사업체수500_999,종사자수500_999,사업체수1000이상,종사자수100이상,자영업자종사자수,무급가족종사자수,상용근로자수,임시일용근로자수,기타종사자수,대표자남자사업체수,대표자남자종사자수,대표자여자사업체수,대표자여자종사자수,대표자사업체수20세미만,대표자종사자수20세미만,대표자사업체수20_29세,대표자종사자수20세_29세,대표자사업체수30_39세,대표자종사자수30세_39세,대표자사업체수40_49세,대표자종사자수40세_49세,대표자사업체수50_59세,대표자종사자수50세_59세,대표자사업체수60세이상,대표자종사자수60세이상
0000000F4112,전국,비주거용 건물 건설업,8360,94470,79758,14712,2341,4387,6010,90035,9,48,0,0,7742,72396,268,6565,350,15509,4135,6854,1808,12016,1264,17065,851,25051,206,13975,82,12454,10,3493,3,2041,1,X,2397,124,54803,36542,604,6711,83275,1649,11195,2,X,170,844,562,4991,1992,19503,3645,41883,1989,27245
0000000F41121,전국,사무ㆍ상업용 및 공공기관용 건물 건설업,3990,60912,51629,9283,539,1046,3447,59857,4,9,0,0,3586,45934,165,3930,239,11048,1399,2416,985,6636,816,11099,574,16903,146,9920,61,9192,6,2001,2,X,1,X,549,25,35388,24602,348,3269,54554,721,6358,1,X,61,423,232,2587,951,12660,1729,26905,1016,18334
0000000F41122,전국,제조업 및 유사 산업용 건물 건설업,942,12313,10592,1721,247,595,695,11718,0,0,0,0,871,8378,31,1202,40,2733,401,680,245,1625,162,2171,99,2847,20,1445,12,1910,2,X,1,X,0,0,251,12,7593,4374,83,792,11182,150,1131,0,0,20,88,54,838,173,1546,444,5668,251,4173
0000000F41129,전국,기타 비주거용 건물 건설업,3428,21245,17537,3708,1555,2746,1868,18460,5,39,0,0,3285,18084,72,1433,71,1728,2335,3758,578,3755,286,3795,178,5301,40,2610,9,1352,2,X,0,0,0,0,1597,87,11822,7566,173,2650,17539,778,3706,1,X,89,333,276,1566,868,5297,1472,9310,722,4738
0000000F412,전국,토목 건설업,24742,227559,191640,35919,9029,17582,15635,207020,76,2955,2,X,23135,161797,828,21898,779,43864,15049,27413,4923,32246,2727,36377,1484,43309,351,23715,158,24928,24,9369,17,12895,9,17307,9173,462,131305,84881,1738,17933,185264,6809,42295,9,15,498,1966,1699,10578,5940,38287,10172,99157,6424,77556
0000000F4121,전국,지반조성 건설업,1354,12478,10790,1688,398,764,953,11598,3,116,0,0,1248,9192,50,774,56,2512,832,1466,225,1489,162,2178,96,2693,23,1524,16,3128,0,0,0,0,0,0,405,16,7366,4674,17,1058,10951,296,1527,4,4,34,111,83,450,329,2032,563,6255,341,3626
0000000F41210,전국,지반조성 건설업,1354,12478,10790,1688,398,764,953,11598,3,116,0,0,1248,9192,50,774,56,2512,832,1466,225,1489,162,2178,96,2693,23,1524,16,3128,0,0,0,0,0,0,405,16,7366,4674,17,1058,10951,296,1527,4,4,34,111,83,450,329,2032,563,6255,341,3626
0000000F4122,전국,토목 시설물 건설업,23388,215081,180850,34231,8631,16818,14682,195422,73,2839,2,X,21887,152605,778,21124,723,41352,14217,25947,4698,30757,2565,34199,1388,40616,328,22191,142,21800,24,9369,17,12895,9,17307,8768,446,123939,80207,1721,16875,174313,6513,40768,5,11,464,1855,1616,10128,5611,36255,9609,92902,6083,73930
0000000F41221,전국,도로 건설업,2368,36702,32002,4700,449,914,1905,35061,14,727,0,0,2138,26235,125,4611,105,5856,828,1610,617,4210,507,6890,305,9047,73,5228,29,4205,6,2255,2,X,1,X,461,24,21658,14314,245,1776,31451,592,5251,0,0,35,200,140,1488,524,5513,992,14428,677,15073
0000000F41222,전국,"교량, 터널 및 철도 건설업",467,13503,12159,1344,133,330,332,11624,2,X,0,0,392,3879,45,3475,30,6149,205,357,113,741,61,805,53,1628,14,952,15,2757,1,X,2,X,3,4280,137,6,8874,4149,337,377,12887,90,616,0,0,6,100,30,224,98,1584,213,6812,120,4783
